world,world_title,entry_role,english_gloss,saulteau_source_form,source_category,firstvoices_entry_url,related_image_available,source_acknowledgement
5,Berry Meadow and Garden,object,Flour,askipahkwēsikan,Food,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/de92fde0-a482-46bb-8eab-f01bf9f6d434,yes,Source: Amy Ann Gauthier
5,Berry Meadow and Garden,object,A potato,askipwāw,Vegetable,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/e62d49e5-1f2b-46c4-9676-1faa6435174e,yes,Source: Amy Ann Gauthier
5,Berry Meadow and Garden,object,Potatoes,Askipwāwa,Vegetable,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/51bb68d0-9e19-4de4-9961-647fe5e6ba7a,yes,Source: Judy Cameron
5,Berry Meadow and Garden,object,A piece of raw meat.,askiwiyās,Food,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/7a5aaead-6c70-41aa-9644-b76f3ee8e6b8,no,Source: Amy Ann Gauthier
1,Water and Turtle Island,land/season,Earth,Askiy,Landscape,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/88df61c5-d890-4d0b-a0b2-ec4d86298c39,yes,Source: Judy Cameron
2,Forest and Meadow,land/season,"muskeg moss, used in diapers.",āskiya,Lichens,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/202a502c-b773-4783-8f34-08bdbddc1fc4,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,A riding saddle.,aspapōwin,Transportation,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/ab1fa503-c4f0-4fdd-80b4-f459230d124b,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,A pot holder,Aspinikan,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/a6d9d801-08d9-4d5a-a3c8-d1e8ab741a2f,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,A rug,Aspitahkoskākan,Buildings,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/5f817ecb-d896-4a73-8be2-1d656b5af74e,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,Gloves,āstisak,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/39b86914-b46b-4ca4-8767-85a0f68cee2a,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,A hat,āstotin,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/8d8de3fe-b4e0-4147-b270-aa7bb21b260b,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,hats,astotina,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/837b2574-e13e-4ad1-812b-fdc886cbfb90,yes,Source: Terry Badine
3,Animal Trail,living being,Dogs.,ātimwak,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/22143133-f33e-4c1a-8197-0959fad5e729,no,Source: Amy Ann Gauthier
4,Wetlands and Sky,land/season,April - Frog Moon,Ayēkipēsim,Seasons,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/877db155-f7ab-4c9e-b1e2-f9d51aeb747e,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,Clothing,Ayewinisā,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/98c3af22-dc38-491f-8776-f057a904fd9a,no,Source: Judy Cameron
1,Water and Turtle Island,living being,A baby frog,ayikisis,Amphibians,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/e6d60079-131b-4088-9780-8eb949a60a8b,yes,Source: Amy Ann Gauthier
5,Berry Meadow and Garden,object,A raspberry,Ayōskan,Food Plants,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/db02a1cf-7cc5-4c0b-b5dd-5c30fb9f770a,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,An Axe,cēkahikan,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/36b29a46-e370-4d47-b046-88b52c9af27e,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,A fork.,cēstahikan,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/75b6509a-8ba1-4e73-b888-daf3b0b8488e,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,A television,Cikāstēpayihcēkan,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/c46a07b7-8629-4709-b74c-8d3563798801,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,A small teaspoon.,ēmihkwānis,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/48598b69-dfbd-4d9e-b6cb-b8237041ab55,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,Spoons,Ēmihkwānisak,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/2896157c-8f0c-4b35-9bb5-b733aa3cefe1,yes,Source: Judy Cameron
2,Forest and Meadow,living being,An Ant,eyik,Insects,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/35841f23-a033-42e1-aab9-de91999609d0,yes,Source: Amy Ann Gauthier
2,Forest and Meadow,living being,A Louse,ihkwā,Insects,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/feccb875-7cd7-4312-a9ea-031bd0b63cac,yes,Source: Amy Ann Gauthier
1,Water and Turtle Island,land/season,High Water,Iskipēw,Landscape,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/12d9dce0-a9ef-4ae9-98b8-567e079e5d3f,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,A firehall building,Iskotēw’ kamik,Buildings,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/01ebbd25-1ad9-4714-94b8-3cfbfd826161,yes,Source: Judy Cameron
4,Wetlands and Sky,land/season,November - Frost Moon,Iyikopiwipēsim,Seasons,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/61b5c449-bd83-4c04-9d7a-2f20301f644e,no,Source: Amy Ann Gauthier
4,Wetlands and Sky,living being,A crow,kahkākow,Birds,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/7e9191d0-34ed-4c8f-a2ea-af7552d51c1b,yes,Source: Amy Ann Gauthier
5,Berry Meadow and Garden,object,Pepper,kahkominakāk,Food,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/9d9b4672-f934-4033-aa6b-19885c8fb470,yes,Source: Judy Cameron
3,Animal Trail,living being,Porcupines.,Kākwak,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/516d78d4-bb4b-46f3-b83f-f37933929d8e,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,It is smokey.,kaskāpahtew,Making Cultural Objects,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/baf2154e-1b68-4eb3-8bc6-3c0123a773d6,yes,Source: Amy Ann Gauthier
4,Wetlands and Sky,land/season,October - Freezing Moon,Kaskatinōwipēsim,Seasons,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/6cf8d862-5152-45dd-a20d-0068d7499f87,yes,Source: Amy Ann Gauthier
3,Animal Trail,living being,A small wolverine or a young one,Kehkwāhākēsis,Mammals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/aa5c2fb7-05a1-480c-b9fb-ab95db699966,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,A skirt,Kēskasākay,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/de4e9394-9eaf-4a9f-9858-65cdef28e46e,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,Skirts,Kēskasākaya,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/4dd4852e-705b-4d2a-a9c2-c42600ab0a64,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,A pair of shorts,Kēskicāsis,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/19e430e1-8192-4886-9e7e-b40a9991a45c,yes,Source: Judy Cameron
4,Wetlands and Sky,living being,Eagles,Kihēwak,Birds,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/767b0629-1750-4c2f-b9aa-d978b8bc0d20,yes,Source: Amy Ann Gauthier
1,Water and Turtle Island,living being,Baby Fish,Kinosesis,Fish,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/43bce455-21c2-4695-b945-b85cdc1b68da,yes,Source: Amy Ann Gauthier
1,Water and Turtle Island,living being,fish (one fish),kinosēw,Fish,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/6a93116b-5a87-48a2-a9c4-56996f4532d4,yes,Source: Amy Ann Gauthier
1,Water and Turtle Island,living being,fish - more than one fish (plural),kinosēwak,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/5fff2c9f-fbc8-49b1-81dc-68e5592be58d,yes,Source: Terry Badine
4,Wetlands and Sky,land/season,It is cold.,kisin,Weather,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/c80503de-130c-4d2f-b2c3-5861f32aa39d,yes,Source: Terry Badine
6,"Home, Camp and Craft",object,School,kiskinohamakosiw,Buildings,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/cc7758e3-4cba-48cf-9fc6-a5736cb682e0,yes,Source: Terri Badine
6,"Home, Camp and Craft",object,A radio,Kitohcikan,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/c02ff93e-90c1-491e-97f6-4daa7978c03d,yes,Source: Judy Cameron
5,Berry Meadow and Garden,object,A watermelon,Kōhkomināw,Food Plants,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/cd535e9c-b952-48c2-b401-b149b8e3fa2b,no,Source: Judy Cameron
3,Animal Trail,living being,Pigs,Kohkōsak,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/5ed0ba53-f724-4db6-8a20-64e3861fbf2a,no,Source: Amy Ann Gauthier
4,Wetlands and Sky,land/season,Snow,Kōna,Weather,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/ba32ff52-7b4c-448c-9fa5-40847063a7d6,yes,Source: Amy Ann Gauthier
3,Animal Trail,living being,Wolf,Mahēhkān,Mammals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/1291f257-5efa-44e5-9d49-43032820426e,yes,Source: Judy Cameron
3,Animal Trail,living being,Baby wolves,Mahikansak,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/601cdf0e-b884-4d91-a9d6-3f772cd5adfc,yes,Source: Amy Ann Gauthier
5,Berry Meadow and Garden,object,A corn,Mahtāmin,Vegetable,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/d08439ff-5fde-4a80-8ddd-9bb6a7141970,yes,Source: Judy Cameron
4,Wetlands and Sky,living being,Loon,Mākwā,Birds,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/cc01f24c-7297-424c-b66a-ed54268060f1,yes,Source: Judy Cameron
2,Forest and Meadow,living being,Bug or worm,Manicôs,Insects,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/d03d9881-4cd5-4bab-aed4-a1867d667fb4,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,A Catholic concept,manitō kēsikāw,Spiritual Beliefs,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/5c3287c1-bde8-48c1-b60e-ab83d971d0ee,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,A picture,Masinipayowin,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/87419e24-f2f0-496d-bb7b-09d663769ea7,yes,Source: Judy Cameron
5,Berry Meadow and Garden,object,Medicine fluid,Maskehkēwāpoy,Food,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/0d10b79d-1daf-4e93-aebc-e306f98d71a7,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,A medical clinic,Maskihkēw’ kamik,Buildings,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/6c79c01d-6513-4a92-a030-c92df464b54b,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,shoe,maskisin,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/67e40de8-9b03-4173-90eb-2dc7675c6faf,yes,Source: Terry Badine
